Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0102a,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total road length (miles) by road type and local authority in Great Britain, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Miles,
,,,,Motorways,,,,'A' roads ,,,,,,Minor roads,,,,,,,,All roads,,,,
"ONS Area 
Code",Region,Local authority,,"Trunk 
motorways","Principal
motorways","All
motorways",,"Trunk 
rural 'A'",Trunk urban 'A',Principal rural 'A',"Principal
urban 'A'","All 'A' 
roads",,Rural 'B' ,Urban 'B',Rural 'C' ,Urban 'C' ,Rural 'U' ,Urban 'U' ,"All minor 
roads",,"Major:
Trunk roads","Major: 
Prinicipal roads","Minor
roads","Total road 
length",
E08000005,North West,Rochdale,,16.0,0.0,16.0,,0.0,0.0,9.6,41.7,51.3,,3.8,11.0,15.6,6.5,32.6,350.4,419.9,,16.0,51.3,419.9,487.2
E08000006,North West,Salford,,17.4,0.0,17.4,,0.0,0.0,2.1,52.6,54.6,,0.4,18.2,15.7,2.1,0.0,386.4,422.8,,17.4,54.6,422.8,494.9
E08000007,North West,Stockport,,8.0,0.0,8.0,,0.0,0.0,6.3,46.0,52.3,,3.2,20.7,9.8,17.2,37.1,468.3,556.3,,8.0,52.3,556.3,616.5
E08000008,North West,Tameside,,9.5,0.0,9.5,,1.3,0.7,2.2,37.0,41.2,,1.9,17.9,1.2,22.0,37.6,345.7,426.3,,11.5,39.2,426.3,477.0
E08000009,North West,Trafford,,5.9,0.0,5.9,,0.0,0.0,4.3,32.0,36.3,,5.9,27.2,6.9,23.2,26.0,367.9,457.0,,5.9,36.3,457.0,499.2
E08000010,North West,Wigan,,11.4,0.0,11.4,,0.0,0.0,18.6,53.8,72.5,,12.3,22.6,22.5,19.6,59.5,498.2,634.7,,11.4,72.5,634.7,718.6
E10000017,North West,Lancashire ,,93.8,7.3,101.1,,24.0,7.3,272.1,132.1,435.5,,191.8,90.6,703.2,99.0,"1,073.7","1,608.5","3,766.8",,125.0,411.5,"3,766.8","4,303.4"
E08000011,North West,Knowsley ,,9.8,3.3,13.1,,0.0,0.2,11.2,18.0,29.5,,5.8,7.5,12.1,17.0,28.3,245.4,316.0,,10.1,32.5,316.0,358.5
E08000012,North West,Liverpool,,0.0,0.6,0.6,,0.0,0.0,3.3,73.3,76.6,,0.9,21.4,6.4,38.6,0.7,743.7,811.7,,0.0,77.2,811.7,888.9
E08000014,North West,Sefton,,5.1,0.0,5.1,,0.2,3.4,7.9,42.5,53.9,,6.1,17.3,18.1,22.5,41.8,449.1,554.9,,8.6,50.4,554.9,613.9
E08000013,North West,St. Helens,,8.7,0.0,8.7,,0.0,0.0,24.8,26.8,51.6,,17.3,8.2,11.6,3.4,60.7,293.7,394.8,,8.7,51.6,394.8,455.2
E08000015,North West,Wirral,,12.4,0.0,12.4,,0.0,0.0,13.6,52.1,65.7,,11.5,30.1,6.7,26.8,43.9,554.4,673.4,,12.4,65.7,673.4,751.5
E06000011,Yorkshire and The Humber,East Riding of Yorkshire UA,,21.6,0.0,21.6,,11.7,0.5,201.1,13.9,227.2,,192.3,14.7,529.4,41.0,885.3,225.6,"1,888.3",,33.8,215.0,"1,888.3","2,137.1"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of UA",,0.0,0.0,0.0,,0.0,8.0,0.0,20.4,28.4,,0.1,5.9,0.2,48.4,8.3,370.2,433.1,,8.0,20.4,433.1,461.5
E06000012,Yorkshire and The Humber,North East Lincolnshire UA,,0.0,0.0,0.0,,8.2,0.0,23.5,20.8,52.5,,11.1,9.0,29.6,20.6,42.9,231.0,344.2,,8.2,44.3,344.2,396.7
E06000013,Yorkshire and The Humber,North Lincolnshire UA,,24.2,0.0,24.2,,8.0,0.0,83.8,11.7,103.5,,95.1,5.5,187.4,16.8,314.0,132.7,751.5,,32.2,95.4,751.5,879.2
E06000014,Yorkshire and The Humber,York UA,,0.0,0.0,0.0,,14.7,0.0,25.3,19.9,59.8,,16.0,3.0,60.8,21.7,107.6,227.0,436.1,,14.7,45.2,436.1,495.9
E10000023,Yorkshire and The Humber,North Yorkshire ,,32.7,0.0,32.7,,102.3,0.0,508.2,41.1,651.6,,391.3,17.3,"1,627.9",80.4,"2,582.5",385.9,"5,085.5",,135.0,549.3,"5,085.5","5,769.8"
E08000016,Yorkshire and The Humber,Barnsley,,10.7,0.0,10.7,,13.0,0.0,49.5,31.1,93.6,,21.4,24.7,64.2,37.8,170.6,327.3,646.0,,23.8,80.5,646.0,750.4
E08000017,Yorkshire and The Humber,Doncaster,,37.5,0.0,37.5,,2.7,0.0,58.8,35.4,96.9,,24.0,8.9,116.4,40.0,247.5,464.0,900.9,,40.3,94.2,900.9,"1,035.4"
