Department for Transport Statistics,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/road-accidents-and-safety-statistics,,,,,,,,,,,,,,,,,,
TSGB0801 (Alternative number RAS40007),,,,,,,,,,,,,,,,,,
Reported road accidents and casualties: 1950-2011,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Number/rate per billion vehicle miles,
,,,,,,,Casualties,,,,,,,,,,,
,,,,,Killed (number),,,,,Injured (thousands),,,,,,,,
,Accidents,,Pedest-rians,Pedal cyclists,Motor cyclists,All other road users,All killed,,Serious,Slight,All injured,,All casualties,,Casualty rate per ,,All traffic,
Year,'000,,no,no,no,no,no,,'000,'000,'000,,'000,,Billion vehicle miles,,billion vehicle miles,
1950,167,,"2,251",805,"1,129",827,"5,012",,49,148,196,,201,,"4,438",,45,
1951,178,,"2,398",800,"1,175",877,"5,250",,52,159,211,,216,,"4,372",,50,
1952,172,,"2,063",743,"1,142",758,"4,706",,50,153,203,,208,,"3,998",,52,
1953,186,,"2,233",720,"1,237",900,"5,090",,57,165,222,,227,,"4,262",,53,
1954,196,,"2,226",696,"1,148",940,"5,010",,57,176,233,,238,,"4,333",,55,
1955,217,,"2,287",708,"1,362","1,169","5,526",,62,200,262,,268,,"4,529",,59,
1956,216,,"2,270",650,"1,250","1,197","5,367",,61,201,263,,268,,"4,441",,60,
1957,219,,"2,225",663,"1,425","1,237","5,550",,64,205,268,,274,,"4,571",,60,
1958,237,,"2,408",668,"1,421","1,473","5,970",,69,225,294,,300,,"4,502",,67,
1959,261,,"2,520",738,"1,680","1,582","6,520",,81,246,327,,333,,"4,556",,73,
1960,272,,"2,708",679,"1,743","1,840","6,970",,84,256,341,,348,,"4,498",,77,
1961,270,,"2,717",645,"1,544","2,002","6,908",,85,258,343,,350,,"4,222",,83,
1962,264,,"2,681",583,"1,323","2,122","6,709",,84,251,335,,342,,"3,994",,86,
1963,272,,"2,740",589,"1,279","2,314","6,922",,88,261,349,,356,,"3,966",,90,
1964,292,,"2,986",583,"1,445","2,806","7,820",,95,282,378,,385,,"3,870",,100,
1965,299,,"3,105",543,"1,244","3,060","7,952",,98,292,390,,398,,"3,774",,105,
1966,292,,"3,153",514,"1,134","3,184","7,985",,100,285,384,,392,,"3,527",,111,
1967,277,,"2,964",463,920,"2,972","7,319",,94,269,363,,370,,"3,209",,115,
1968,264,,"2,762",391,877,"2,780","6,810",,89,254,342,,349,,"2,917",,120,
